month,policeprecinct,requesttype,n
2020-01,NORTH HOLLYWOOD,Single Streetlight Issue,40
2020-01,NORTHEAST,Bulky Items,4071
2020-01,NORTHEAST,Dead Animal Removal,164
2020-01,NORTHEAST,Electronic Waste,270
2020-01,NORTHEAST,Graffiti Removal,1763
2020-01,NORTHEAST,Homeless Encampment,185
2020-01,NORTHEAST,Illegal Dumping Pickup,483
2020-01,NORTHEAST,Metal/Household Appliances,717
2020-01,NORTHEAST,Multiple Streetlight Issue,34
2020-01,NORTHEAST,Single Streetlight Issue,60
2020-01,OLYMPIC,Bulky Items,2479
2020-01,OLYMPIC,Dead Animal Removal,60
2020-01,OLYMPIC,Electronic Waste,149
2020-01,OLYMPIC,Graffiti Removal,1548
2020-01,OLYMPIC,Homeless Encampment,389
2020-01,OLYMPIC,Illegal Dumping Pickup,630
2020-01,OLYMPIC,Metal/Household Appliances,323
2020-01,OLYMPIC,Multiple Streetlight Issue,61
2020-01,OLYMPIC,Single Streetlight Issue,89
2020-01,PACIFIC,Bulky Items,2751
2020-01,PACIFIC,Dead Animal Removal,100
2020-01,PACIFIC,Electronic Waste,152
2020-01,PACIFIC,Graffiti Removal,1663
2020-01,PACIFIC,Homeless Encampment,521
2020-01,PACIFIC,Illegal Dumping Pickup,326
2020-01,PACIFIC,Metal/Household Appliances,522
2020-01,PACIFIC,Multiple Streetlight Issue,14
2020-01,PACIFIC,Single Streetlight Issue,24
2020-01,RAMPART,Bulky Items,1990
2020-01,RAMPART,Dead Animal Removal,61
2020-01,RAMPART,Electronic Waste,142
2020-01,RAMPART,Graffiti Removal,2668
2020-01,RAMPART,Homeless Encampment,265
2020-01,RAMPART,Illegal Dumping Pickup,672
2020-01,RAMPART,Metal/Household Appliances,280
2020-01,RAMPART,Multiple Streetlight Issue,35
2020-01,RAMPART,Single Streetlight Issue,45
2020-01,SOUTHEAST,Bulky Items,2080
2020-01,SOUTHEAST,Dead Animal Removal,116
2020-01,SOUTHEAST,Electronic Waste,145
2020-01,SOUTHEAST,Graffiti Removal,1520
2020-01,SOUTHEAST,Homeless Encampment,57
2020-01,SOUTHEAST,Illegal Dumping Pickup,818
2020-01,SOUTHEAST,Metal/Household Appliances,342
2020-01,SOUTHEAST,Multiple Streetlight Issue,18
2020-01,SOUTHEAST,Single Streetlight Issue,35
2020-01,SOUTHWEST,Bulky Items,2908
2020-01,SOUTHWEST,Dead Animal Removal,106
2020-01,SOUTHWEST,Electronic Waste,208
2020-01,SOUTHWEST,Graffiti Removal,1147
2020-01,SOUTHWEST,Homeless Encampment,98
2020-01,SOUTHWEST,Illegal Dumping Pickup,763
2020-01,SOUTHWEST,Metal/Household Appliances,523
2020-01,SOUTHWEST,Multiple Streetlight Issue,17
2020-01,SOUTHWEST,Single Streetlight Issue,26
2020-01,TOPANGA,Bulky Items,2760
2020-01,TOPANGA,Dead Animal Removal,155
2020-01,TOPANGA,Electronic Waste,199
2020-01,TOPANGA,Graffiti Removal,447
2020-01,TOPANGA,Homeless Encampment,492
2020-01,TOPANGA,Illegal Dumping Pickup,409
2020-01,TOPANGA,Metal/Household Appliances,620
2020-01,TOPANGA,Multiple Streetlight Issue,19
2020-01,TOPANGA,Single Streetlight Issue,45
2020-01,VAN NUYS,Bulky Items,2935
2020-01,VAN NUYS,Dead Animal Removal,102
2020-01,VAN NUYS,Electronic Waste,169
2020-01,VAN NUYS,Graffiti Removal,941
2020-01,VAN NUYS,Homeless Encampment,322
2020-01,VAN NUYS,Illegal Dumping Pickup,545
2020-01,VAN NUYS,Metal/Household Appliances,397
2020-01,VAN NUYS,Multiple Streetlight Issue,34
2020-01,VAN NUYS,Single Streetlight Issue,33
2020-01,WEST LOS ANGELES,Bulky Items,2450
2020-01,WEST LOS ANGELES,Dead Animal Removal,71
2020-01,WEST LOS ANGELES,Electronic Waste,148
2020-01,WEST LOS ANGELES,Graffiti Removal,754
2020-01,WEST LOS ANGELES,Homeless Encampment,250
2020-01,WEST LOS ANGELES,Illegal Dumping Pickup,226
2020-01,WEST LOS ANGELES,Metal/Household Appliances,459
2020-01,WEST LOS ANGELES,Multiple Streetlight Issue,20
2020-01,WEST LOS ANGELES,Single Streetlight Issue,81
2020-01,WEST VALLEY,Bulky Items,3033
2020-01,WEST VALLEY,Dead Animal Removal,138
2020-01,WEST VALLEY,Electronic Waste,193
2020-01,WEST VALLEY,Graffiti Removal,1198
2020-01,WEST VALLEY,Homeless Encampment,299
2020-01,WEST VALLEY,Illegal Dumping Pickup,557
2020-01,WEST VALLEY,Metal/Household Appliances,525
2020-01,WEST VALLEY,Multiple Streetlight Issue,16
2020-01,WEST VALLEY,Single Streetlight Issue,36
2020-01,WILSHIRE,Bulky Items,2410
2020-01,WILSHIRE,Dead Animal Removal,59
2020-01,WILSHIRE,Electronic Waste,154
2020-01,WILSHIRE,Graffiti Removal,1131
2020-01,WILSHIRE,Homeless Encampment,284
2020-01,WILSHIRE,Illegal Dumping Pickup,381
2020-01,WILSHIRE,Metal/Household Appliances,401
2020-01,WILSHIRE,Multiple Streetlight Issue,63
2020-01,WILSHIRE,Single Streetlight Issue,56
2020-02,77TH STREET,Bulky Items,2616
2020-02,77TH STREET,Dead Animal Removal,125
2020-02,77TH STREET,Electronic Waste,154
2020-02,77TH STREET,Graffiti Removal,1501
2020-02,77TH STREET,Homeless Encampment,122
2020-02,77TH STREET,Illegal Dumping Pickup,766
2020-02,77TH STREET,Metal/Household Appliances,439
2020-02,77TH STREET,Multiple Streetlight Issue,33
2020-02,77TH STREET,Single Streetlight Issue,44
2020-02,CENTRAL,Bulky Items,260
2020-02,CENTRAL,Dead Animal Removal,15
2020-02,CENTRAL,Electronic Waste,15
2020-02,CENTRAL,Graffiti Removal,1017
2020-02,CENTRAL,Homeless Encampment,171
2020-02,CENTRAL,Illegal Dumping Pickup,106
2020-02,CENTRAL,Metal/Household Appliances,38
2020-02,CENTRAL,Multiple Streetlight Issue,22
2020-02,CENTRAL,Single Streetlight Issue,51
2020-02,DEVONSHIRE,Bulky Items,2651
2020-02,DEVONSHIRE,Dead Animal Removal,162
2020-02,DEVONSHIRE,Electronic Waste,204
2020-02,DEVONSHIRE,Graffiti Removal,692
2020-02,DEVONSHIRE,Homeless Encampment,118
2020-02,DEVONSHIRE,Illegal Dumping Pickup,352
2020-02,DEVONSHIRE,Metal/Household Appliances,634
2020-02,DEVONSHIRE,Multiple Streetlight Issue,64
2020-02,DEVONSHIRE,Single Streetlight Issue,42
2020-02,FOOTHILL,Bulky Items,2343
2020-02,FOOTHILL,Dead Animal Removal,87
2020-02,FOOTHILL,Electronic Waste,169
2020-02,FOOTHILL,Graffiti Removal,801
2020-02,FOOTHILL,Homeless Encampment,174
2020-02,FOOTHILL,Illegal Dumping Pickup,739
2020-02,FOOTHILL,Metal/Household Appliances,459
2020-02,FOOTHILL,Multiple Streetlight Issue,49
2020-02,FOOTHILL,Single Streetlight Issue,26
2020-02,HARBOR,Bulky Items,2157
2020-02,HARBOR,Dead Animal Removal,103
2020-02,HARBOR,Electronic Waste,152
2020-02,HARBOR,Graffiti Removal,1610
2020-02,HARBOR,Homeless Encampment,121
2020-02,HARBOR,Illegal Dumping Pickup,265
2020-02,HARBOR,Metal/Household Appliances,491
2020-02,HARBOR,Multiple Streetlight Issue,36
2020-02,HARBOR,Single Streetlight Issue,18
2020-02,HOLLENBECK,Bulky Items,1978
2020-02,HOLLENBECK,Dead Animal Removal,87
2020-02,HOLLENBECK,Electronic Waste,117
2020-02,HOLLENBECK,Graffiti Removal,1391
2020-02,HOLLENBECK,Homeless Encampment,163
2020-02,HOLLENBECK,Illegal Dumping Pickup,369
2020-02,HOLLENBECK,Metal/Household Appliances,285
2020-02,HOLLENBECK,Multiple Streetlight Issue,75
2020-02,HOLLENBECK,Single Streetlight Issue,59
2020-02,HOLLYWOOD,Bulky Items,1593
2020-02,HOLLYWOOD,Dead Animal Removal,33
2020-02,HOLLYWOOD,Electronic Waste,90
2020-02,HOLLYWOOD,Graffiti Removal,1438
2020-02,HOLLYWOOD,Homeless Encampment,245
2020-02,HOLLYWOOD,Illegal Dumping Pickup,276
2020-02,HOLLYWOOD,Metal/Household Appliances,265
2020-02,HOLLYWOOD,Multiple Streetlight Issue,12
2020-02,HOLLYWOOD,Single Streetlight Issue,55
2020-02,MISSION,Bulky Items,3159
2020-02,MISSION,Dead Animal Removal,132
2020-02,MISSION,Electronic Waste,242
2020-02,MISSION,Graffiti Removal,1340
2020-02,MISSION,Homeless Encampment,166
2020-02,MISSION,Illegal Dumping Pickup,788
2020-02,MISSION,Metal/Household Appliances,589
2020-02,MISSION,Multiple Streetlight Issue,32
2020-02,MISSION,Single Streetlight Issue,58
2020-02,NEWTON,Bulky Items,1374
2020-02,NEWTON,Dead Animal Removal,102
2020-02,NEWTON,Electronic Waste,81
2020-02,NEWTON,Graffiti Removal,3208
2020-02,NEWTON,Homeless Encampment,272
2020-02,NEWTON,Illegal Dumping Pickup,552
2020-02,NEWTON,Metal/Household Appliances,224
2020-02,NEWTON,Multiple Streetlight Issue,56
2020-02,NEWTON,Single Streetlight Issue,68
2020-02,NORTH HOLLYWOOD,Bulky Items,2710
2020-02,NORTH HOLLYWOOD,Dead Animal Removal,91
2020-02,NORTH HOLLYWOOD,Electronic Waste,162
2020-02,NORTH HOLLYWOOD,Graffiti Removal,1068
2020-02,NORTH HOLLYWOOD,Homeless Encampment,267
2020-02,NORTH HOLLYWOOD,Illegal Dumping Pickup,384
2020-02,NORTH HOLLYWOOD,Metal/Household Appliances,482
2020-02,NORTH HOLLYWOOD,Multiple Streetlight Issue,68
2020-02,NORTH HOLLYWOOD,Single Streetlight Issue,76
2020-02,NORTHEAST,Bulky Items,3202
2020-02,NORTHEAST,Dead Animal Removal,149
2020-02,NORTHEAST,Electronic Waste,204
2020-02,NORTHEAST,Graffiti Removal,1666
2020-02,NORTHEAST,Homeless Encampment,142
2020-02,NORTHEAST,Illegal Dumping Pickup,343
2020-02,NORTHEAST,Metal/Household Appliances,636
2020-02,NORTHEAST,Multiple Streetlight Issue,42
2020-02,NORTHEAST,Single Streetlight Issue,60
2020-02,OLYMPIC,Bulky Items,1718
2020-02,OLYMPIC,Dead Animal Removal,44
2020-02,OLYMPIC,Electronic Waste,66
2020-02,OLYMPIC,Graffiti Removal,1837
2020-02,OLYMPIC,Homeless Encampment,339
2020-02,OLYMPIC,Illegal Dumping Pickup,455
2020-02,OLYMPIC,Metal/Household Appliances,233
2020-02,OLYMPIC,Multiple Streetlight Issue,34
2020-02,OLYMPIC,Single Streetlight Issue,74
2020-02,PACIFIC,Bulky Items,2286
2020-02,PACIFIC,Dead Animal Removal,81
2020-02,PACIFIC,Electronic Waste,110
2020-02,PACIFIC,Graffiti Removal,872
2020-02,PACIFIC,Homeless Encampment,416
2020-02,PACIFIC,Illegal Dumping Pickup,285
2020-02,PACIFIC,Metal/Household Appliances,495
2020-02,PACIFIC,Multiple Streetlight Issue,10
2020-02,PACIFIC,Single Streetlight Issue,34
2020-02,RAMPART,Bulky Items,1525
2020-02,RAMPART,Dead Animal Removal,49
2020-02,RAMPART,Electronic Waste,80
2020-02,RAMPART,Graffiti Removal,2595
2020-02,RAMPART,Homeless Encampment,227
2020-02,RAMPART,Illegal Dumping Pickup,618
2020-02,RAMPART,Metal/Household Appliances,239
2020-02,RAMPART,Multiple Streetlight Issue,28
2020-02,RAMPART,Single Streetlight Issue,54
2020-02,SOUTHEAST,Bulky Items,1703
2020-02,SOUTHEAST,Dead Animal Removal,114
2020-02,SOUTHEAST,Electronic Waste,91
2020-02,SOUTHEAST,Graffiti Removal,1475
2020-02,SOUTHEAST,Homeless Encampment,56
2020-02,SOUTHEAST,Illegal Dumping Pickup,529
2020-02,SOUTHEAST,Metal/Household Appliances,303
2020-02,SOUTHEAST,Multiple Streetlight Issue,19
2020-02,SOUTHEAST,Single Streetlight Issue,22
2020-02,SOUTHWEST,Bulky Items,2310
2020-02,SOUTHWEST,Dead Animal Removal,90
2020-02,SOUTHWEST,Electronic Waste,159
2020-02,SOUTHWEST,Graffiti Removal,763
2020-02,SOUTHWEST,Homeless Encampment,116
2020-02,SOUTHWEST,Illegal Dumping Pickup,594
2020-02,SOUTHWEST,Metal/Household Appliances,429
2020-02,SOUTHWEST,Multiple Streetlight Issue,18
2020-02,SOUTHWEST,Single Streetlight Issue,22
2020-02,TOPANGA,Bulky Items,2334
2020-02,TOPANGA,Dead Animal Removal,102
2020-02,TOPANGA,Electronic Waste,152
2020-02,TOPANGA,Graffiti Removal,471
2020-02,TOPANGA,Homeless Encampment,370
2020-02,TOPANGA,Illegal Dumping Pickup,337
2020-02,TOPANGA,Metal/Household Appliances,510
2020-02,TOPANGA,Multiple Streetlight Issue,15
2020-02,TOPANGA,Single Streetlight Issue,34
2020-02,VAN NUYS,Bulky Items,2293
2020-02,VAN NUYS,Dead Animal Removal,90
2020-02,VAN NUYS,Electronic Waste,122
2020-02,VAN NUYS,Graffiti Removal,940
2020-02,VAN NUYS,Homeless Encampment,224
2020-02,VAN NUYS,Illegal Dumping Pickup,353
2020-02,VAN NUYS,Metal/Household Appliances,343
2020-02,VAN NUYS,Multiple Streetlight Issue,58
2020-02,VAN NUYS,Single Streetlight Issue,53
2020-02,WEST LOS ANGELES,Bulky Items,2031
2020-02,WEST LOS ANGELES,Dead Animal Removal,64
2020-02,WEST LOS ANGELES,Electronic Waste,118
2020-02,WEST LOS ANGELES,Graffiti Removal,433
2020-02,WEST LOS ANGELES,Homeless Encampment,160
2020-02,WEST LOS ANGELES,Illegal Dumping Pickup,199
2020-02,WEST LOS ANGELES,Metal/Household Appliances,440
2020-02,WEST LOS ANGELES,Multiple Streetlight Issue,20
2020-02,WEST LOS ANGELES,Single Streetlight Issue,74
2020-02,WEST VALLEY,Bulky Items,2514
2020-02,WEST VALLEY,Dead Animal Removal,120
2020-02,WEST VALLEY,Electronic Waste,184
2020-02,WEST VALLEY,Graffiti Removal,1108
2020-02,WEST VALLEY,Homeless Encampment,227
2020-02,WEST VALLEY,Illegal Dumping Pickup,384
2020-02,WEST VALLEY,Metal/Household Appliances,429
2020-02,WEST VALLEY,Multiple Streetlight Issue,18
2020-02,WEST VALLEY,Single Streetlight Issue,31
2020-02,WILSHIRE,Bulky Items,2089
2020-02,WILSHIRE,Dead Animal Removal,71
2020-02,WILSHIRE,Electronic Waste,119
2020-02,WILSHIRE,Graffiti Removal,993
2020-02,WILSHIRE,Homeless Encampment,244
2020-02,WILSHIRE,Illegal Dumping Pickup,343
2020-02,WILSHIRE,Metal/Household Appliances,398
2020-02,WILSHIRE,Multiple Streetlight Issue,39
2020-02,WILSHIRE,Single Streetlight Issue,46
2020-03,77TH STREET,Bulky Items,3176
2020-03,77TH STREET,Dead Animal Removal,126
2020-03,77TH STREET,Electronic Waste,221
2020-03,77TH STREET,Graffiti Removal,941
2020-03,77TH STREET,Homeless Encampment,107
2020-03,77TH STREET,Illegal Dumping Pickup,740
2020-03,77TH STREET,Metal/Household Appliances,555
2020-03,77TH STREET,Multiple Streetlight Issue,26
2020-03,77TH STREET,Single Streetlight Issue,39
2020-03,CENTRAL,Bulky Items,315
2020-03,CENTRAL,Dead Animal Removal,22
2020-03,CENTRAL,Electronic Waste,6
2020-03,CENTRAL,Graffiti Removal,1482
2020-03,CENTRAL,Homeless Encampment,170
2020-03,CENTRAL,Illegal Dumping Pickup,94
2020-03,CENTRAL,Metal/Household Appliances,48
2020-03,CENTRAL,Multiple Streetlight Issue,16
2020-03,CENTRAL,Single Streetlight Issue,22
2020-03,DEVONSHIRE,Bulky Items,3016
2020-03,DEVONSHIRE,Dead Animal Removal,142
2020-03,DEVONSHIRE,Electronic Waste,230
2020-03,DEVONSHIRE,Graffiti Removal,666
2020-03,DEVONSHIRE,Homeless Encampment,126
2020-03,DEVONSHIRE,Illegal Dumping Pickup,371
2020-03,DEVONSHIRE,Metal/Household Appliances,726
2020-03,DEVONSHIRE,Multiple Streetlight Issue,31
2020-03,DEVONSHIRE,Single Streetlight Issue,29
2020-03,FOOTHILL,Bulky Items,2877
2020-03,FOOTHILL,Dead Animal Removal,108
2020-03,FOOTHILL,Electronic Waste,203
2020-03,FOOTHILL,Graffiti Removal,718
2020-03,FOOTHILL,Homeless Encampment,168
2020-03,FOOTHILL,Illegal Dumping Pickup,798
2020-03,FOOTHILL,Metal/Household Appliances,486
2020-03,FOOTHILL,Multiple Streetlight Issue,29
2020-03,FOOTHILL,Single Streetlight Issue,37
2020-03,HARBOR,Bulky Items,2362
2020-03,HARBOR,Dead Animal Removal,91
2020-03,HARBOR,Electronic Waste,184
2020-03,HARBOR,Graffiti Removal,839
2020-03,HARBOR,Homeless Encampment,92
2020-03,HARBOR,Illegal Dumping Pickup,311
2020-03,HARBOR,Metal/Household Appliances,546
2020-03,HARBOR,Multiple Streetlight Issue,14
2020-03,HARBOR,Single Streetlight Issue,18
2020-03,HOLLENBECK,Bulky Items,2018
2020-03,HOLLENBECK,Dead Animal Removal,68
2020-03,HOLLENBECK,Electronic Waste,144
2020-03,HOLLENBECK,Graffiti Removal,1944
2020-03,HOLLENBECK,Homeless Encampment,133
2020-03,HOLLENBECK,Illegal Dumping Pickup,302
2020-03,HOLLENBECK,Metal/Household Appliances,314
2020-03,HOLLENBECK,Multiple Streetlight Issue,39
2020-03,HOLLENBECK,Single Streetlight Issue,48
2020-03,HOLLYWOOD,Bulky Items,1675
2020-03,HOLLYWOOD,Dead Animal Removal,27
2020-03,HOLLYWOOD,Electronic Waste,91
2020-03,HOLLYWOOD,Graffiti Removal,1410
2020-03,HOLLYWOOD,Homeless Encampment,210
2020-03,HOLLYWOOD,Illegal Dumping Pickup,215
2020-03,HOLLYWOOD,Metal/Household Appliances,292
2020-03,HOLLYWOOD,Multiple Streetlight Issue,19
2020-03,HOLLYWOOD,Single Streetlight Issue,61
2020-03,MISSION,Bulky Items,3316
2020-03,MISSION,Dead Animal Removal,124
2020-03,MISSION,Electronic Waste,250
2020-03,MISSION,Graffiti Removal,2261
2020-03,MISSION,Homeless Encampment,207
2020-03,MISSION,Illegal Dumping Pickup,976
2020-03,MISSION,Metal/Household Appliances,693
2020-03,MISSION,Multiple Streetlight Issue,65
2020-03,MISSION,Single Streetlight Issue,52
2020-03,NEWTON,Bulky Items,1581
2020-03,NEWTON,Dead Animal Removal,71
2020-03,NEWTON,Electronic Waste,111
2020-03,NEWTON,Graffiti Removal,2960
2020-03,NEWTON,Homeless Encampment,238
2020-03,NEWTON,Illegal Dumping Pickup,471
2020-03,NEWTON,Metal/Household Appliances,275
2020-03,NEWTON,Multiple Streetlight Issue,51
2020-03,NEWTON,Single Streetlight Issue,42
2020-03,NORTH HOLLYWOOD,Bulky Items,3104
2020-03,NORTH HOLLYWOOD,Dead Animal Removal,87
2020-03,NORTH HOLLYWOOD,Electronic Waste,164
2020-03,NORTH HOLLYWOOD,Graffiti Removal,1025
2020-03,NORTH HOLLYWOOD,Homeless Encampment,187
2020-03,NORTH HOLLYWOOD,Illegal Dumping Pickup,350
2020-03,NORTH HOLLYWOOD,Metal/Household Appliances,548
2020-03,NORTH HOLLYWOOD,Multiple Streetlight Issue,83
2020-03,NORTH HOLLYWOOD,Single Streetlight Issue,62
2020-03,NORTHEAST,Bulky Items,3659
2020-03,NORTHEAST,Dead Animal Removal,96
2020-03,NORTHEAST,Electronic Waste,259
2020-03,NORTHEAST,Graffiti Removal,1471
2020-03,NORTHEAST,Homeless Encampment,142
2020-03,NORTHEAST,Illegal Dumping Pickup,333
2020-03,NORTHEAST,Metal/Household Appliances,705
2020-03,NORTHEAST,Multiple Streetlight Issue,30
2020-03,NORTHEAST,Single Streetlight Issue,47
2020-03,OLYMPIC,Bulky Items,1768
2020-03,OLYMPIC,Dead Animal Removal,43
2020-03,OLYMPIC,Electronic Waste,81
2020-03,OLYMPIC,Graffiti Removal,1321
2020-03,OLYMPIC,Homeless Encampment,316
2020-03,OLYMPIC,Illegal Dumping Pickup,504
2020-03,OLYMPIC,Metal/Household Appliances,248
2020-03,OLYMPIC,Multiple Streetlight Issue,15
2020-03,OLYMPIC,Single Streetlight Issue,24
2020-03,PACIFIC,Bulky Items,2305
2020-03,PACIFIC,Dead Animal Removal,63
2020-03,PACIFIC,Electronic Waste,120
2020-03,PACIFIC,Graffiti Removal,670
2020-03,PACIFIC,Homeless Encampment,279
2020-03,PACIFIC,Illegal Dumping Pickup,249
2020-03,PACIFIC,Metal/Household Appliances,499
2020-03,PACIFIC,Multiple Streetlight Issue,8
2020-03,PACIFIC,Single Streetlight Issue,34
2020-03,RAMPART,Bulky Items,1647
2020-03,RAMPART,Dead Animal Removal,41
2020-03,RAMPART,Electronic Waste,77
2020-03,RAMPART,Graffiti Removal,2462
2020-03,RAMPART,Homeless Encampment,187
2020-03,RAMPART,Illegal Dumping Pickup,523
2020-03,RAMPART,Metal/Household Appliances,239
2020-03,RAMPART,Multiple Streetlight Issue,19
2020-03,RAMPART,Single Streetlight Issue,34
2020-03,SOUTHEAST,Bulky Items,1838
2020-03,SOUTHEAST,Dead Animal Removal,87
2020-03,SOUTHEAST,Electronic Waste,104
2020-03,SOUTHEAST,Graffiti Removal,734
2020-03,SOUTHEAST,Homeless Encampment,48
2020-03,SOUTHEAST,Illegal Dumping Pickup,510
2020-03,SOUTHEAST,Metal/Household Appliances,289
2020-03,SOUTHEAST,Multiple Streetlight Issue,16
2020-03,SOUTHEAST,Single Streetlight Issue,21
2020-03,SOUTHWEST,Bulky Items,2740
2020-03,SOUTHWEST,Dead Animal Removal,107
2020-03,SOUTHWEST,Electronic Waste,194
2020-03,SOUTHWEST,Graffiti Removal,830
2020-03,SOUTHWEST,Homeless Encampment,69
2020-03,SOUTHWEST,Illegal Dumping Pickup,505
2020-03,SOUTHWEST,Metal/Household Appliances,462
2020-03,SOUTHWEST,Multiple Streetlight Issue,17
2020-03,SOUTHWEST,Single Streetlight Issue,15
2020-03,TOPANGA,Bulky Items,2339
2020-03,TOPANGA,Dead Animal Removal,122
2020-03,TOPANGA,Electronic Waste,153
2020-03,TOPANGA,Graffiti Removal,441
2020-03,TOPANGA,Homeless Encampment,430
2020-03,TOPANGA,Illegal Dumping Pickup,388
2020-03,TOPANGA,Metal/Household Appliances,608
2020-03,TOPANGA,Multiple Streetlight Issue,17
2020-03,TOPANGA,Single Streetlight Issue,20
2020-03,VAN NUYS,Bulky Items,2521
2020-03,VAN NUYS,Dead Animal Removal,74
2020-03,VAN NUYS,Electronic Waste,148
2020-03,VAN NUYS,Graffiti Removal,1047
2020-03,VAN NUYS,Homeless Encampment,218
2020-03,VAN NUYS,Illegal Dumping Pickup,401
2020-03,VAN NUYS,Metal/Household Appliances,434
2020-03,VAN NUYS,Multiple Streetlight Issue,39
2020-03,VAN NUYS,Single Streetlight Issue,36
2020-03,WEST LOS ANGELES,Bulky Items,2136
2020-03,WEST LOS ANGELES,Dead Animal Removal,57
2020-03,WEST LOS ANGELES,Electronic Waste,133
2020-03,WEST LOS ANGELES,Graffiti Removal,561
2020-03,WEST LOS ANGELES,Homeless Encampment,165
2020-03,WEST LOS ANGELES,Illegal Dumping Pickup,156
2020-03,WEST LOS ANGELES,Metal/Household Appliances,452
